Title,Course Price,Subscribers,Reviews Left,Length,Percent of Reviews
Learn JavaScript for beginners,200,15276,167,1.5 hours,"['1146014', 'Learn JavaScript for beginners', 'https://www.udemy.com/learn-javascript-course/', 'TRUE', '200', '15276', '167', '19', 'Beginner Level', '1.5 hours', '2017-03-16T20:57:12Z']"
HTML Tutorial: HTML & CSS for Beginners,20,12458,253,4 hours,"['8325', 'HTML Tutorial: HTML & CSS for Beginners', 'https://www.udemy.com/learn-html5/', 'TRUE', '20', '12458', '253', '82', 'All Levels', '4 hours', '2011-09-09T15:28:59Z']"
Learn by Doing: Vue JS 2.0 the Right Way,95,1087,220,3.5 hours,"['987064', 'Learn by Doing: Vue JS 2.0 the Right Way', 'https://www.udemy.com/learn-by-doing-vue-js-2-the-right-way/', 'TRUE', '95', '1087', '220', '32', 'Intermediate Level', '3.5 hours', '2016-11-07T17:53:40Z']"
Learn Complete Web Development From Scratch,40,14074,106,12 hours,"['94428', 'Learn Complete Web Development From Scratch', 'https://www.udemy.com/learn-complete-web-development-from-scratch/', 'TRUE', '40', '14074', '106', '46', 'All Levels', '12 hours', '2013-10-23T09:23:00Z']"
Introduction to Web Development: HTML,20,26800,333,3 hours,"['159070', 'Introduction to Web Development: HTML', 'https://www.udemy.com/webdevelopment101_html/', 'TRUE', '20', '26800', '333', '55', 'Beginner Level', '3 hours', '2014-02-13T20:39:33Z']"
Web Site for Beginners - Learn Web Building like knitting,20,9425,147,1.5 hours,"['920306', 'Web Site for Beginners - Learn Web Building like knitting', 'https://www.udemy.com/web-design-for-grandmothers-with-html/', 'TRUE', '20', '9425', '147', '14', 'Beginner Level', '1.5 hours', '2016-08-10T00:40:59Z']"
How To Make A Wordpress Website 2017 - Divi Theme Tutorial,40,2780,94,3 hours,"['1089744', 'How To Make A Wordpress Website 2017 - Divi Theme Tutorial', 'https://www.udemy.com/how-to-make-a-wordpress-website-2017-divi-theme-tutorial-for-beginners/', 'TRUE', '40', '2780', '94', '29', 'Beginner Level', '3 hours', '2017-01-26T17:16:27Z']"
Web Programming with Python,50,35267,217,4 hours,"['16646', 'Web Programming with Python', 'https://www.udemy.com/web-programming-with-python/', 'TRUE', '50', '35267', '217', '53', 'All Levels', '4 hours', '2012-04-25T00:01:43Z']"
PHP Login and Registration System - Email Confirm Activation,100,2607,317,5 hours,"['678142', 'PHP Login and Registration System - Email Confirm Activation', 'https://www.udemy.com/php-mysql-login-and-registration-system-with-email-confirm-activation/', 'TRUE', '100', '2607', '317', '49', 'All Levels', '5 hours', '2015-11-26T23:56:12Z']"
PSD to Responsive HTML5: Beginner to Advanced,40,1502,218,6 hours,"['948440', 'PSD to Responsive HTML5: Beginner to Advanced', 'https://www.udemy.com/psd-to-html5-beginner-to-advanced/', 'TRUE', '40', '1502', '218', '49', 'All Levels', '6 hours', '2016-10-03T21:11:56Z']"
Ultimate Web Developer Course Build 10 Websites from Scratch,200,9359,110,32.5 hours,"['924704', 'Ultimate Web Developer Course Build 10 Websites from Scratch', 'https://www.udemy.com/ultimate-web-developer-course-build-10-websites-from-scratch/', 'TRUE', '200', '9359', '110', '402', 'Beginner Level', '32.5 hours', '2016-10-10T15:09:14Z']"
Rapid Website Design with Bootstrap,200,14842,131,1 hour,"['1027342', 'Rapid Website Design with Bootstrap', 'https://www.udemy.com/responsive-website-design/', 'TRUE', '200', '14842', '131', '17', 'Beginner Level', '1 hour', '2016-12-02T00:45:36Z']"
Build Enterprise Applications with Angular 2 (and Angular 4),190,6082,848,9.5 hours,"['1009452', 'Build Enterprise Applications with Angular 2 (and Angular 4)', 'https://www.udemy.com/angular2-advanced/', 'TRUE', '190', '6082', '848', '135', 'Intermediate Level', '9.5 hours', '2016-11-22T14:55:35Z']"
Angular 4 (2+) Crash Course for Beginners,120,12366,506,9 hours,"['1247828', 'Angular 4 (2+) Crash Course for Beginners', 'https://www.udemy.com/angular-crash-course-for-beginners/', 'TRUE', '120', '12366', '506', '120', 'Beginner Level', '9 hours', '2017-06-23T00:35:49Z']"
Accelerated JavaScript Training,110,4720,1017,7.5 hours,"['886300', 'Accelerated JavaScript Training', 'https://www.udemy.com/javascript-bootcamp-2016/', 'TRUE', '110', '4720', '1017', '126', 'All Levels', '7.5 hours', '2016-07-12T18:23:35Z']"
"Beginner API development in Node, Express, ES6, & MongoDB",165,7057,655,18.5 hours,"['1009254', 'Beginner API development in Node, Express, ES6, & MongoDB', 'https://www.udemy.com/api-development/', 'TRUE', '165', '7057', '655', '65', 'Beginner Level', '18.5 hours', '2016-11-12T18:53:51Z']"
React JS and Redux - Mastering Web Apps,60,16829,820,5 hours,"['1078522', 'React JS and Redux - Mastering Web Apps', 'https://www.udemy.com/react-js-and-redux-mastering-web-apps/', 'TRUE', '60', '16829', '820', '77', 'All Levels', '5 hours', '2017-01-19T04:58:10Z']"
Web Development w/ Google’s Go (golang) Programming Language,65,4872,662,19 hours,"['1002030', 'Web Development w/ Google’s Go (golang) Programming Language', 'https://www.udemy.com/go-programming-language/', 'TRUE', '65', '4872', '662', '171', 'Intermediate Level', '19 hours', '2017-01-17T22:30:33Z']"
Git a Web Developer Job: Mastering the Modern Workflow,200,5809,1445,15 hours,"['818990', 'Git a Web Developer Job: Mastering the Modern Workflow', 'https://www.udemy.com/git-a-web-developer-job-mastering-the-modern-workflow/', 'TRUE', '200', '5809', '1445', '61', 'Beginner Level', '15 hours', '2016-08-28T17:54:07Z']"
The Complete WordPress Website Business Course,150,13439,1981,20.5 hours,"['520116', 'The Complete WordPress Website Business Course', 'https://www.udemy.com/the-complete-wordpress-website-business-course/', 'TRUE', '150', '13439', '1981', '89', 'All Levels', '20.5 hours', '2016-11-01T23:50:51Z']"
The Complete HTML and CSS Course For Beginners,85,733,104,3 hours,"['1252318', 'The Complete HTML and CSS Course For Beginners', 'https://www.udemy.com/the-complete-html-and-css-course-for-beginners/', 'TRUE', '85', '733', '104', '50', 'All Levels', '3 hours', '2017-06-20T16:05:46Z']"
Learn  Bootstrap Development By Building 10 Projects,60,14813,1358,13.5 hours,"['427530', 'Learn  Bootstrap Development By Building 10 Projects', 'https://www.udemy.com/learn-bootstrap-development-by-building-10-projects/', 'TRUE', '60', '14813', '1358', '74', 'All Levels', '13.5 hours', '2015-02-23T12:04:53Z']"
Advanced Javascript,200,6601,1304,3.5 hours,"['670034', 'Advanced Javascript', 'https://www.udemy.com/top-javascript-interview-questions-and-answers/', 'TRUE', '200', '6601', '1304', '26', 'Intermediate Level', '3.5 hours', '2015-11-21T06:56:33Z']"
Dissecting Ruby on Rails 5 - Become a Professional Developer,195,2804,418,37.5 hours,"['1052118', 'Dissecting Ruby on Rails 5 - Become a Professional Developer', 'https://www.udemy.com/professional-rails-5-development-course/', 'TRUE', '195', '2804', '418', '212', 'All Levels', '37.5 hours', '2017-02-07T00:40:33Z']"
The Complete Wordpress Course - Build Your Own Website Today,195,9421,73,3.5 hours,"['575880', 'The Complete Wordpress Course - Build Your Own Website Today', 'https://www.udemy.com/wordpresscourse/', 'TRUE', '195', '9421', '73', '36', 'All Levels', '3.5 hours', '2015-08-25T00:03:06Z']"
JQuery Essentials core training for Dynamic Interactive web,100,9668,38,4 hours,"['669270', 'JQuery Essentials core training for Dynamic Interactive web', 'https://www.udemy.com/jquery-essentials-core-training-for-dynamic-interactive-web/', 'TRUE', '100', '9668', '38', '52', 'All Levels', '4 hours', '2015-11-20T17:22:00Z']"
Node.js: The Essentials + API Frameworks Express KOA Sails,20,2760,52,1 hour,"['1103954', 'Node.js: The Essentials + API Frameworks Express KOA Sails', 'https://www.udemy.com/nodejs-up-and-running/', 'TRUE', '20', '2760', '52', '34', 'Beginner Level', '1 hour', '2017-02-16T21:59:01Z']"
The Complete PHP Bootcamp Course With Video Sharing Project,195,9831,56,14.5 hours,"['1017568', 'The Complete PHP Bootcamp Course With Video Sharing Project', 'https://www.udemy.com/php-bootcamp/', 'TRUE', '195', '9831', '56', '74', 'Beginner Level', '14.5 hours', '2017-03-21T23:50:38Z']"
Build a Single Page Application with jQuery & AJAX,60,486,59,2 hours,"['1111844', 'Build a Single Page Application with jQuery & AJAX', 'https://www.udemy.com/jquery-ajax/', 'TRUE', '60', '486', '59', '27', 'Intermediate Level', '2 hours', '2017-02-18T01:13:09Z']"
Practical CSS Website Development: Crash Course ,95,11170,35,2.5 hours,"['736940', 'Practical CSS Website Development: Crash Course ', 'https://www.udemy.com/css-website-development-crash-course/', 'TRUE', '95', '11170', '35', '19', 'All Levels', '2.5 hours', '2016-02-02T21:05:27Z']"
Successful website creation - everything you need to know,150,9384,21,1.5 hours,"['647442', 'Successful website creation - everything you need to know', 'https://www.udemy.com/total-guide-to-creating-websites-and-an-online-web-business/', 'TRUE', '150', '9384', '21', '16', 'All Levels', '1.5 hours', '2015-10-22T22:54:30Z']"
Start Writing JavaScript Today - Beginner JavaScript Course,100,9067,41,3 hours,"['1073793', 'Start Writing JavaScript Today - Beginner JavaScript Course', 'https://www.udemy.com/start-writing-javascript-today/', 'TRUE', '100', '9067', '41', '27', 'Beginner Level', '3 hours', '2017-03-08T22:34:43Z']"
HTML5 Essentials for Beginners,20,10247,200,1.5 hours,"['176432', 'HTML5 Essentials for Beginners', 'https://www.udemy.com/html5-essentials-for-beginners/', 'TRUE', '20', '10247', '200', '15', 'Intermediate Level', '1.5 hours', '2014-03-14T21:46:36Z']"
Code a personal splash page in 1 hour,20,10610,83,1 hour,"['158934', 'Code a personal splash page in 1 hour', 'https://www.udemy.com/intro-to-html-and-css/', 'TRUE', '20', '10610', '83', '10', 'Beginner Level', '1 hour', '2014-02-12T21:27:40Z']"
Step-by-step HTML and CSS for Absolute Beginners,120,6162,324,4 hours,"['73080', 'Step-by-step HTML and CSS for Absolute Beginners', 'https://www.udemy.com/step-by-step-html-and-css-for-absolute-beginners/', 'TRUE', '120', '6162', '324', '43', 'Beginner Level', '4 hours', '2013-08-26T19:10:57Z']"
Angular 4 Development Decoded,20,1802,13,1 hour,"['1256136', 'Angular 4 Development Decoded', 'https://www.udemy.com/marutiangular4/', 'TRUE', '20', '1802', '13', '8', 'Intermediate Level', '1 hour', '2017-06-21T16:37:46Z']"
Javascript ES6! A Complete Reference Guide to Javascript ES6,175,4783,41,7 hours,"['1124970', 'Javascript ES6! A Complete Reference Guide to Javascript ES6', 'https://www.udemy.com/javascript-es6-a-complete-reference-guide-to-javascript-es6/', 'TRUE', '175', '4783', '41', '48', 'Intermediate Level', '7 hours', '2017-04-20T16:22:34Z']"
Reactive JS:  Are you ready for the next big paradigm shift?,60,2097,401,5.5 hours,"['771198', 'Reactive JS:  Are you ready for the next big paradigm shift?', 'https://www.udemy.com/reactive-js-getting-ready-for-the-next-big-paradigm-shift/', 'TRUE', '60', '2097', '401', '28', 'Intermediate Level', '5.5 hours', '2016-02-23T16:50:16Z']"
Learn Python and Django: Payment Processing,70,17714,198,3.5 hours,"['391546', 'Learn Python and Django: Payment Processing', 'https://www.udemy.com/learn-django-code-accept-payments-with-stripe/', 'TRUE', '70', '17714', '198', '23', 'All Levels', '3.5 hours', '2015-02-09T15:37:56Z']"
Code your first Website using HTML & CSS: Project Learning,20,9554,368,1.5 hours,"['629088', 'Code your first Website using HTML & CSS: Project Learning', 'https://www.udemy.com/code-your-first-website-using-html-css-project-learning/', 'TRUE', '20', '9554', '368', '16', 'Beginner Level', '1.5 hours', '2015-10-28T18:16:52Z']"
"React.js: Building Production Ready Apps, Start to Finish",50,1129,137,17.5 hours,"['1006894', 'React.js: Building Production Ready Apps, Start to Finish', 'https://www.udemy.com/reactjs-building-production-ready-apps-start-to-finish/', 'TRUE', '50', '1129', '137', '77', 'All Levels', '17.5 hours', '2016-11-10T23:48:22Z']"
Learn Object Oriented Programming PHP fundamentals bootcamp,100,22213,142,1 hour,"['579338', 'Learn Object Oriented Programming PHP fundamentals bootcamp', 'https://www.udemy.com/learn-object-oriented-programming-php-fundamentals-bootcamp/', 'TRUE', '100', '22213', '142', '16', 'All Levels', '1 hour', '2015-08-11T18:52:58Z']"
Javascript Intermediate level 2 - Mastering Functions,100,2412,116,2.5 hours,"['945320', 'Javascript Intermediate level 2 - Mastering Functions', 'https://www.udemy.com/javascript-intermediate-mastering-functions/', 'TRUE', '100', '2412', '116', '28', 'All Levels', '2.5 hours', '2016-08-30T18:20:56Z']"
1 Hour CSS,100,18324,333,1 hour,"['64605', '1 Hour CSS', 'https://www.udemy.com/1-hour-css/', 'TRUE', '100', '18324', '333', '16', 'Beginner Level', '1 hour', '2013-07-09T20:27:14Z']"
"Become a Full Stack Developer with Spring, AWS and Stripe",75,1696,193,10 hours,"['897146', 'Become a Full Stack Developer with Spring, AWS and Stripe', 'https://www.udemy.com/become-a-full-stack-developer-with-spring-aws-and-stripe/', 'TRUE', '75', '1696', '193', '60', 'Intermediate Level', '10 hours', '2016-07-08T15:47:58Z']"
Complete JQuery And JQuery UI Course For Beginner,80,7169,277,1 hour,"['989452', 'Complete JQuery And JQuery UI Course For Beginner', 'https://www.udemy.com/complete-jquery-and-jquery-ui-course-for-beginner/', 'TRUE', '80', '7169', '277', '20', 'Intermediate Level', '1 hour', '2016-10-27T21:56:49Z']"
Learn JavaScript for Web Development,75,12893,220,8.5 hours,"['917724', 'Learn JavaScript for Web Development', 'https://www.udemy.com/javascript-learn-javascript-essentials-and-build-project/', 'TRUE', '75', '12893', '220', '95', 'Intermediate Level', '8.5 hours', '2016-10-12T16:41:11Z']"
"Complete AJAX Using Bootstrap, PHP From Basic To Advanced.",195,4708,111,2.5 hours,"['970874', 'Complete AJAX Using Bootstrap, PHP From Basic To Advanced.', 'https://www.udemy.com/complete-ajax-using-bootstrap-php-from-basic-to-advanced/', 'TRUE', '195', '4708', '111', '18', 'All Levels', '2.5 hours', '2016-10-06T04:49:57Z']"
Complete Wordpress Theme Development Course,150,1050,223,6.5 hours,"['911474', 'Complete Wordpress Theme Development Course', 'https://www.udemy.com/complete-wordpress-theme-development-course/', 'TRUE', '150', '1050', '223', '64', 'All Levels', '6.5 hours', '2016-07-23T20:07:17Z']"
How to Optimise Your WordPress Website's Speed & Security to Improve SEO & User Experience,125,7852,46,3.5 hours,"['425910', ""How to Optimise Your WordPress Website's Speed & Security to Improve SEO & User Experience"", 'https://www.udemy.com/how-to-make-your-wordpress-site-blazing-fast/', 'TRUE', '125', '7852', '46', '31', 'All Levels', '3.5 hours', '2015-03-02T19:03:21Z']"
Build A Web App With Spring Framework and Angular 2,145,1683,340,8 hours,"['842058', 'Build A Web App With Spring Framework and Angular 2', 'https://www.udemy.com/build-a-web-app-with-spring-boot-and-angular-2/', 'TRUE', '145', '1683', '340', '48', 'All Levels', '8 hours', '2016-05-08T18:47:05Z']"
Projects in Laravel: Learn Laravel Building 10 Projects,50,119,6,10.5 hours,"['1250824', 'Projects in Laravel: Learn Laravel Building 10 Projects', 'https://www.udemy.com/projects-in-laravel-learn-laravel-building-10-projects/', 'TRUE', '50', '119', '6', '70', 'Intermediate Level', '10.5 hours', '2017-06-15T20:29:49Z']"
Javascript Intermediate level 3 - JSON,100,1735,76,2.5 hours,"['937134', 'Javascript Intermediate level 3 - JSON', 'https://www.udemy.com/javascript-intermediate-json-course/', 'TRUE', '100', '1735', '76', '25', 'All Levels', '2.5 hours', '2016-08-30T17:48:52Z']"
Develop Your First App in an Hour,20,3699,201,1 hour,"['796010', 'Develop Your First App in an Hour', 'https://www.udemy.com/develop-your-first-app-in-an-hour/', 'TRUE', '20', '3699', '201', '11', 'Beginner Level', '1 hour', '2016-05-17T17:22:35Z']"
PHP: Ultimate guide to PHP for everyone,115,10103,75,1.5 hours,"['752658', 'PHP: Ultimate guide to PHP for everyone', 'https://www.udemy.com/basic-php/', 'TRUE', '115', '10103', '75', '20', 'Beginner Level', '1.5 hours', '2016-05-29T17:49:28Z']"
JavaScript DOM Dynamic Web interactive content Boot Camp,75,7380,43,2.5 hours,"['560990', 'JavaScript DOM Dynamic Web interactive content Boot Camp', 'https://www.udemy.com/javascript-dom-dynamic-web-interactive-content-boot-camp/', 'TRUE', '75', '7380', '43', '59', 'All Levels', '2.5 hours', '2015-07-30T16:52:34Z']"
"Master JavaScript Programming, 3 Projects Included !!",20,3903,53,10.5 hours,"['1260288', 'Master JavaScript Programming, 3 Projects Included !!', 'https://www.udemy.com/master-javascript-programming-extended-course/', 'TRUE', '20', '3903', '53', '107', 'All Levels', '10.5 hours', '2017-06-27T23:16:24Z']"
HTML CSS Learn to create a website from scratch,50,4892,49,2 hours,"['918870', 'HTML CSS Learn to create a website from scratch', 'https://www.udemy.com/html-css-learn-to-create-a-website-from-scratch/', 'TRUE', '50', '4892', '49', '32', 'Beginner Level', '2 hours', '2016-08-04T21:40:35Z']"
Complete Codeigniter: From Beginner to Advanced,200,2786,31,3 hours,"['1027016', 'Complete Codeigniter: From Beginner to Advanced', 'https://www.udemy.com/complete-codeigniter-course-from-basic-to-advanced/', 'TRUE', '200', '2786', '31', '20', 'All Levels', '3 hours', '2017-01-24T22:09:52Z']"
HTML 5: How I made websites in HTML5,135,15064,237,1.5 hours,"['283014', 'HTML 5: How I made websites in HTML5', 'https://www.udemy.com/html5-certification/', 'TRUE', '135', '15064', '237', '15', 'All Levels', '1.5 hours', '2014-10-23T19:43:16Z']"
"Build Responsive Website Using HTML5, CSS3, JS And Bootstrap",95,22623,783,8 hours,"['787236', 'Build Responsive Website Using HTML5, CSS3, JS And Bootstrap', 'https://www.udemy.com/build-responsive-website-using-html5-css3-js-and-bootstrap/', 'TRUE', '95', '22623', '783', '73', 'All Levels', '8 hours', '2016-06-20T18:48:26Z']"
Complete React JS web developer with ES6 - Build 10 projects,200,952,121,12 hours,"['1134390', 'Complete React JS web developer with ES6 - Build 10 projects', 'https://www.udemy.com/complete-react-js-course/', 'TRUE', '200', '952', '121', '75', 'Beginner Level', '12 hours', '2017-03-22T20:09:26Z']"
Complete WordPress Theme Developer Course With Bootstrap,150,3415,312,25 hours,"['883000', 'Complete WordPress Theme Developer Course With Bootstrap', 'https://www.udemy.com/the-complete-wordpress-theme-developer-course/', 'TRUE', '150', '3415', '312', '160', 'All Levels', '25 hours', '2016-07-01T20:06:13Z']"
The Complete Ethical Hacking Course 2.0: Python & Kali Linux,195,7827,268,11 hours,"['938560', 'The Complete Ethical Hacking Course 2.0: Python & Kali Linux', 'https://www.udemy.com/penetration-testing-ethical-hacking-course-python-kali-linux/', 'TRUE', '195', '7827', '268', '66', 'All Levels', '11 hours', '2016-09-26T15:08:29Z']"
Dynamic JavaScript Master Class AJAX JSON Simple APIs,200,9773,117,4.5 hours,"['991290', 'Dynamic JavaScript Master Class AJAX JSON Simple APIs', 'https://www.udemy.com/ajax-course/', 'TRUE', '200', '9773', '117', '65', 'Intermediate Level', '4.5 hours', '2016-10-24T15:36:40Z']"
Vue JS - Mastering Web Apps,80,13457,215,4.5 hours,"['1165096', 'Vue JS - Mastering Web Apps', 'https://www.udemy.com/vue-web-apps/', 'TRUE', '80', '13457', '215', '69', 'All Levels', '4.5 hours', '2017-04-06T16:57:56Z']"
Angular NgRx Store Masterclass - Covers Angular 4,150,1399,212,8.5 hours,"['1045942', 'Angular NgRx Store Masterclass - Covers Angular 4', 'https://www.udemy.com/angular-ngrx-course/', 'TRUE', '150', '1399', '212', '89', 'Intermediate Level', '8.5 hours', '2017-01-19T00:35:43Z']"
JavaScript the Basics - JavaScript for Beginners,120,4028,674,9 hours,"['860812', 'JavaScript the Basics - JavaScript for Beginners', 'https://www.udemy.com/javascript-the-basics-for-beginners/', 'TRUE', '120', '4028', '674', '93', 'Beginner Level', '9 hours', '2016-06-09T15:13:54Z']"
"Complete E-Commerce Course - Java,Spring,Hibernate and MySQL",195,1371,165,20 hours,"['1070976', 'Complete E-Commerce Course - Java,Spring,Hibernate and MySQL', 'https://www.udemy.com/complete-e-commerce-course-javaspringhibernate-and-mysql/', 'TRUE', '195', '1371', '165', '83', 'All Levels', '20 hours', '2017-01-16T23:50:02Z']"
"Learn SVG Animation - With HTML, CSS & Javascript",65,12953,680,1.5 hours,"['939962', 'Learn SVG Animation - With HTML, CSS & Javascript', 'https://www.udemy.com/learn-svg-animation/', 'TRUE', '65', '12953', '680', '22', 'All Levels', '1.5 hours', '2016-09-12T18:51:32Z']"
"Build a Responsive Website with HTML5, CSS3 and Bootstrap 4",20,5125,395,7 hours,"['874960', 'Build a Responsive Website with HTML5, CSS3 and Bootstrap 4', 'https://www.udemy.com/build-a-responsive-website-with-html5-css3-and-bootstrap-4/', 'TRUE', '20', '5125', '395', '53', 'All Levels', '7 hours', '2016-08-09T17:53:33Z']"
Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours,75,43285,525,4 hours,"['28295', 'Learn Web Designing & HTML5/CSS3 Essentials in 4-Hours', 'https://www.udemy.com/build-beautiful-html5-website/', 'TRUE', '75', '43285', '525', '24', 'All Levels', '4 hours', '2013-01-03T00:55:31Z']"
CSS Development (with CSS3!),20,25864,188,5 hours,"['24334', 'CSS Development (with CSS3!)', 'https://www.udemy.com/css-development-with-css3/', 'TRUE', '20', '25864', '188', '32', 'All Levels', '5 hours', '2012-10-31T16:39:49Z']"
Angular 2 & TypeScript Beginner Web Development,200,5211,414,19.5 hours,"['997814', 'Angular 2 & TypeScript Beginner Web Development', 'https://www.udemy.com/angular2/', 'TRUE', '200', '5211', '414', '133', 'Beginner Level', '19.5 hours', '2016-11-14T00:44:48Z']"
The Docker for DevOps course: From development to production,25,8234,1111,7.5 hours,"['641868', 'The Docker for DevOps course: From development to production', 'https://www.udemy.com/the-docker-for-devops-course-from-development-to-production/', 'TRUE', '25', '8234', '1111', '110', 'All Levels', '7.5 hours', '2015-11-13T17:30:34Z']"
"Beginner Full Stack Web Development: HTML, CSS, React & Node",200,2687,331,25.5 hours,"['1042110', 'Beginner Full Stack Web Development: HTML, CSS, React & Node', 'https://www.udemy.com/ultimate-web/', 'TRUE', '200', '2687', '331', '138', 'Beginner Level', '25.5 hours', '2017-03-31T05:35:11Z']"
Learn Angular 2 Development By Building 12 Apps,50,5143,941,12 hours,"['883002', 'Learn Angular 2 Development By Building 12 Apps', 'https://www.udemy.com/learn-angular-2-development-by-building-10-apps/', 'TRUE', '50', '5143', '941', '80', 'Intermediate Level', '12 hours', '2016-07-01T21:20:38Z']"
"Server API Development in Swift, Kitura, & Bluemix",200,1827,129,20.5 hours,"['1128050', 'Server API Development in Swift, Kitura, & Bluemix', 'https://www.udemy.com/swift-kitura/', 'TRUE', '200', '1827', '129', '66', 'Beginner Level', '20.5 hours', '2017-03-08T23:09:32Z']"
React VR - Creating Virtual Reality Apps,80,5026,72,3 hours,"['1218130', 'React VR - Creating Virtual Reality Apps', 'https://www.udemy.com/react-vr/', 'TRUE', '80', '5026', '72', '43', 'All Levels', '3 hours', '2017-05-17T20:36:49Z']"
RxJs & Reactive Programming Angular Masterclass - Angular 4,150,1301,179,7.5 hours,"['1123098', 'RxJs & Reactive Programming Angular Masterclass - Angular 4', 'https://www.udemy.com/rxjs-reactive-angular-course/', 'TRUE', '150', '1301', '179', '80', 'All Levels', '7.5 hours', '2017-04-11T18:48:57Z']"
"Coding for Entrepreneurs: Learn Python, Django, and More.",195,23412,799,45 hours,"['47963', 'Coding for Entrepreneurs: Learn Python, Django, and More.', 'https://www.udemy.com/coding-for-entrepreneurs/', 'TRUE', '195', '23412', '799', '251', 'All Levels', '45 hours', '2013-04-08T00:46:14Z']"
React and Flux Web Development for Beginners,100,8691,836,11 hours,"['671552', 'React and Flux Web Development for Beginners', 'https://www.udemy.com/react-flux/', 'TRUE', '100', '8691', '836', '63', 'Beginner Level', '11 hours', '2015-12-15T20:30:28Z']"
The Full Stack Web Development,60,3119,453,33 hours,"['1002676', 'The Full Stack Web Development', 'https://www.udemy.com/the-full-stack-web-development/', 'TRUE', '60', '3119', '453', '207', 'Beginner Level', '33 hours', '2016-11-24T00:38:03Z']"
Learn Nodejs by building 12 projects,50,10150,997,16 hours,"['481002', 'Learn Nodejs by building 12 projects', 'https://www.udemy.com/learn-nodejs-by-building-10-projects/', 'TRUE', '50', '10150', '997', '90', 'All Levels', '16 hours', '2015-04-22T00:22:43Z']"
